sentence,target,gold_05,gold_01
"It came in through my mother's blood; my Russian grandmother would always tell me stories, bylichkas, of ancestors with the ""second sight"", stupid mill owners who discovered bags of gold after letting a special fish off their hooks, and dark strangers who used to appear to help or interfere at crucial times. When I asked her if she'd ever seen them – before I was old enough to stop believing, I mean – she would always look sad and tell me, ""No, not since the family came to America has anything happened to us. But if you ever should see a faerie, tell him that you are of the blood of Ivan Bogatyrivitch and he will not pass you by so quickly.""",happened,come about;transpire;materialize;happen;occure;come to pass;occur,become a fact;come about;befall;stumble;transpire;materialize;happen;occure;become of;take effect;stumble upon;betide;take place;hit;turn out;become known;come to pass;become;occur;fall
"""I feel bad for Jorge, he's a good friend of mine,"" Bengie said. ""But they liked the way (Jose) has played and they're giving him a chance. I'm very excited we'll be on the same team for a while.""",liked,take delight in;favor;enjoy;desire;have a preference for;approve;adore;praise;be gratified by;delight in;relish;admire;prefer;approve of;fancy;be fond of,take delight in;care to;find appealing;favor;want;get a kick out of;commend;enjoy;savor;desire;love;be keen on;have a preference for;cherish;rejoice in;dote on;exclaim;approve;adore;praise;dig;derive pleasure from;be gratified by;appreciate;delight in;relish;please;hanker for;hold dear;admire;take to;incline toward;prefer;be partial to;approve of;select;care for;fancy;be pleased by;be sweet on;be fond of
"As we headed down the sidewalk, I said, “What is your name, anyway?” “That’s a question you learn not to ask here. What you may call me is Nepthys.”",here,in this place;on-thespot,around;on this spot;on deck;in this place;within reach;there;at this place;on-thespot
"Hall flies to Amman, Jordan, on Friday, where he'll spend the night before driving to Iraq. Flights are not permitted into Iraq. Hall is to return to Washington on April 22.",permitted,allow;authorize;give access,sign off on;grant;allow participation;admit;allow;authorize;give permission;accept;condone;give access;let;let pass;tolerate
"One expert, whose job is so politically sensitive that he spoke on condition that he wouldn't be named or quoted, said the expected influx of East European refugees over the next few years will greatly increase the chances of computer-maintenance workers, for example, doubling as foreign spies. Moreover, he said, technology now exists for stealing corporate secrets after they've been ""erased"" from a computer's memory. He said that Oliver North of Iran-Contra notoriety thought he had erased his computer but that the information was later retrieved for congressional committees to read.",Moreover,additionally;furthermore;what is more;also;in addition;further,by the same token;likewise;more;additionally;furthermore;besides;as well;what is more;also;in addition;further;to boot
"Walking outside, I was shocked to see that it was already dark. “Night comes quickly here,” said Nepthys quietly as he came out behind me. “Didn’t I warn you?”",here,to this place;on this spot;in this place,hereabouts;to this place;around;in this direction;on this spot;in this place;at this place;in this spot;on-thespot
Lets wait and try to offset the amount we owe them with what they owe us - so I say wait until you get July and August done. What do you think the time frame is on this? And when would be the earliest that we would make the payment?,think,surmise;suppose;guess;foresee;assume;reckon;conclude;believe;perceive;envision;presume;speculate;estimate;feel;anticipate;deem;predict;infer,surmise;expect;intellectualize;gather;mull over;comprehend;suppose;guess;fancy;foresee;project;have in mind;suspect;determine;assume;sense;reckon;examine;stop to consider;logicalize;appraise;ponder;judge;evaluate;conclude;believe;perceive;envision;presume;reason;contemplate;deduce;speculate;estimate;feel;anticipate;envisage;deem;predict;imagine;credit;infer;recall;consider;use ones head
"This is the big mission."" Karnes and hundreds of other men from the 509th stood along the flight line as Tibbets and the Enola Gay took off at 2:45 a.m. on Aug. 6, a warm, tropical night. Three B-29s had gone ahead to check the weather at Hiroshima and two other possible bomb sites.",other,various;different;assorted,extra;supplementary;various;diverse;different;unrelated;assorted
"Grande dame of cooking still going strong at 90: Julia Child celebrates in San Francisco BY KAROLA SAEKEL c. 2002 The San Francisco Chronicle SAN FRANCISCO -- How does it feel to turn 90 and have attained the status of an icon, a living legend?",going,carry on;push on,carry on;live;endure;stay;travel;stand;advance;push on;move;continue;work towards an end;function;operate;run through;take off;succeed;fly;conform;come;run;perform;thrive;work;fare;proceed;wax;near;maintain
"“Shouldn’t you be going light on the vodka? I mean, we might have a lot of work ahead of us.” “Are you kidding?",lot,pile;abundance;heap;great deal;ton;plenty;load;bunch;oodles,bundle;pile;batch;barrel;abundance;much;portion;heap;great deal;ton;plenty;clump;plenitude;quantity;stack;load;bunch;mass;oodles;scores;mess;reams;stacks
"He has lovely manners, Nepthys, despite his poor taste in hats. You may leave out the ‘Lady,’ boy. I don’t wish to be reminded of how old I actually am.”",boy,young man;chap;lad;little guy;guy;kid;dude;child;junior,young man;chap;cadet;whippersnapper;lad;puppy;sprout;little guy;guy;kid;runt;sonny;dude;small fry;youngster;punk;fellow;pal;child;junior
At least one other congressman has visited Iraq. Energy Secretary Bill Richardson went to Baghdad in 1995 while a representative for New Mexico.,representative,rep;congressman;elect official;delegate;congressperson;spokesperson,lawyer;agent;commissioner;proxy;attorney;rep;ambassador;congressman;member;person who acts in the stead of another;elect official;deputy;emissary;councilor;delegate;congressperson;assemblyperson;spokesperson;embodiment
"The e-commerce free zone is situated in north Dubai, near the industrial free zone in Jebel Ali, the top regional and tenth international leading area in container transit. The inauguration of Dubai Internet City coincides with the opening of an annual IT show in Dubai, the Gulf Information Technology Exhibition (Gitex), the biggest in the Middle East.",biggest,"large;sizable;great;most massive;large, great ample,","imperious;mammoth;prominent;large;serious;full-grown;prime;leading;heavy-duty;substantial;gigantic;massive;sizable;oversize;grand;tall;colossal;popular;huge;extensive;considerable;great;enormous;tremendous;most massive;hefty;important big;large, great ample,"
"That's simply good strategy, said James Leape, deputy director of the conservation program for the David and Lucile Packard Foundation in Los Altos, Calif. In 2000 and 2001, the Packard Foundation awarded $26 million in marine fisheries conservation grants. They included support for marine reserves and money for fisheries management reform.",awarded,hand out;give;endow;present;bestow;allocate;gifted,fork out;donate;reward;allot;assign;hand out;give;decree;endow;dish out;give prize or reward;grant;present;bestow;allocate;gift;gifted;accord
"Sony Corp. completed its tender offer for Columbia Pictures Entertainment Inc., with Columbia shareholders tendering 99.3% of all common shares outstanding by the Tuesday deadline. Sony Columbia Acquisition Corp., formed for the Columbia deal, will formally take ownership of the movie studio later this month, a spokesman said.",shares,stock,claim;stock;interest;cut;stake;segment;due;chunk
"She took us downstairs to a small room behind a red silk draping. There was a wooden chair, where she sat me down and asked me to wait. Soon, she came back with a lidded ceramic bowl, which she put on the table beside me.",wait,sit tight;lie in wait;await;stick around;stand by;linger;hold on;stay;hang around;bide ones time,abide;sit tight;lie low;lie in wait;cool it;await;hole up;stick around;fill time;stand by;rest;linger;hold on;tarry;remain;hold;pause;stay;hang around;bide ones time
